coalition_id,members,size,mean_value,std_value,runs,notes
51,"('6', '8')",2,0.37374132347967437,5.551115123125783e-17,20,scenario=levinthal1997;N=10;K=3;trials=20
52,"('6', '9')",2,0.46315984234343005,5.551115123125783e-17,20,scenario=levinthal1997;N=10;K=3;trials=20
53,"('7', '8')",2,0.44645336939244384,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
54,"('7', '9')",2,0.5354981652192323,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
55,"('8', '9')",2,0.46626660577035306,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
56,"('0', '1', '2')",3,0.4469231049359549,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
57,"('0', '1', '3')",3,0.4315138571086181,0.01540924782733677,20,scenario=levinthal1997;N=10;K=3;trials=20
58,"('0', '1', '4')",3,0.4562339943417795,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
59,"('0', '1', '5')",3,0.47712387232774844,0.033388204606459734,20,scenario=levinthal1997;N=10;K=3;trials=20
60,"('0', '1', '6')",3,0.5524479747216601,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
61,"('0', '1', '7')",3,0.5196351508487244,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
62,"('0', '1', '8')",3,0.5250539662305551,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
63,"('0', '1', '9')",3,0.5248743806718693,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
64,"('0', '2', '3')",3,0.41610460928128135,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
65,"('0', '2', '4')",3,0.3996483073660152,5.551115123125783e-17,20,scenario=levinthal1997;N=10;K=3;trials=20
66,"('0', '2', '5')",3,0.4577894172013456,0.04852518953508167,20,scenario=levinthal1997;N=10;K=3;trials=20
67,"('0', '2', '6')",3,0.37374132347967437,5.551115123125783e-17,20,scenario=levinthal1997;N=10;K=3;trials=20
68,"('0', '2', '7')",3,0.44645336939244384,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
69,"('0', '2', '8')",3,0.48748467288522496,0.047781764058969514,20,scenario=levinthal1997;N=10;K=3;trials=20
70,"('0', '2', '9')",3,0.46278611930646285,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
71,"('0', '3', '4')",3,0.42690651247124,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
72,"('0', '3', '5')",3,0.517575902251105,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
73,"('0', '3', '6')",3,0.41610460928128135,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
74,"('0', '3', '7')",3,0.4888166551940505,1.1102230246251565e-16,20,scenario=levinthal1997;N=10;K=3;trials=20
75,"('0', '3', '8')",3,0.530691578512437,0.0,20,scenario=levinthal1997;N=10;K=3;trials=20
76,"('0', '3', '9')",3,0.43944536429387215,0.023340755012590753,20,scenario=levinthal1997;N=10;K=3;trials=20
77,"('0', '4', '5')",3,0.43364840501348423,0.044417305044556356,20,scenario=levinthal1997;N=10;K=3;trials=20
